projectRcn;projectID;projectAcronym;role;id;name;shortName;activityType;endOfParticipation;ecContribution;country;street;city;postCode;organizationUrl;vatNumber;contactForm;contactType;contactTitle;contactFirstNames;contactLastNames;contactFunction;contactTelephoneNumber;contactFaxNumber
35176;BRPR960224;MICROMOD-SX;participant;;INSTITUTE OF MECHANICS OF MATERIALS AND GEOSTRUCTURES S.A.;;;;;EL;22,Askiton Street 22;ATHENS;15236;;;;;;;;;;
35176;BRPR960224;MICROMOD-SX;participant;;ASSOCIATION POUR LA RECHERCHE ET LE DEVELOPPEMENT DES METHODES ET PROCESSUS INDUSTRIELS;;;;;FR;Enceinte Snecma Evry-Corbeil 032;EVRY;91003;;;;;;;;;;
35176;BRPR960224;MICROMOD-SX;participant;;Consiglio Nazionale delle Ricerche;;;;;IT;Via Induno 10;Cinisello Balsamo Milano;20092;;;;;;;;;;
35176;BRPR960224;MICROMOD-SX;participant;999993468;IMPERIAL COLLEGE OF SCIENCE, TECHNOLOGY AND MEDICINE;;;;;UK;Royal School of Mines, Prince Consort Road;LONDON;SW7 2BP;;;;;;;;;;
35176;BRPR960224;MICROMOD-SX;coordinator;;Ruhr-Universität Bochum;;;;;DE;150,Universit¢tsstraãe 150;Bochum;44780;;;;;;;;;;
35176;BRPR960224;MICROMOD-SX;participant;;Siemens AG;;;;;DE;35,Wiesenstraße 35;Mülheim an der Ruhr;45466;;;;;;;;;;
35176;BRPR960224;MICROMOD-SX;participant;;ANSALDO ENERGIA SPA;AE;;;;IT;Via Nicola Lorenzi 8;GENOVA;;http://www.ansaldoenergia.it;;;;;;;;;
35176;BRPR960224;MICROMOD-SX;participant;;ALSTOM POWER UK LTD.;;;;;UK;Lichfield Road;Stafford;ST17 4LN;;;;;;;;;;
40288;JOE3970083;EURONITE;coordinator;;CINAR LTD.;;;;;UK;11,Elvaston Place 11;LONDON;SW7 5QG;http://www.cinar.co.uk;;;;;;;;;
40288;JOE3970083;EURONITE;participant;;INSTITUTO SUPERIOR TECNICO;;;;;PT;Avenida Rovisco Pais, Pav. Mecanica 1-2°;LISBOA;1049-001;;;;;;;;;;
40288;JOE3970083;EURONITE;participant;;RUHR-UNIVERSITY BOCHUM;;;;;DE;150,Universitatsstrasse 150;BOCHUM;44780;;;;;;;;;;
40288;JOE3970083;EURONITE;participant;;GASWAERME - INSTITUT E.V. ESSEN;;;;;DE;101,Hafenstrasse 101;ESSEN;45356;;;;;;;;;;
40288;JOE3970083;EURONITE;participant;;WS WARMEPROZESSTECHNIK GMBH;;;;;DE;14,Dornierstrasse 14;RENNINGEN;71272;;;;;;;;;;
40288;JOE3970083;EURONITE;participant;;Faculté Polytechnique de Mons;;;;;BE;56,Rue de l'Epargne;Mons;7000;;;;;;;;;;
40288;JOE3970083;EURONITE;participant;;Technische Universiteit Delft;;;;;NL;1,Lorentzweg;Delft;2628 CJ;;;;;;;;;;
40288;JOE3970083;EURONITE;participant;;Hermann Heye KG;;;;;DE;1,Am Lohplatz;Obernkirchen;31683;;;;;;;;;;
37009;JOR3950073;STENO;participant;;NEDERLANDSE ORGANISATIE VOOR TOEGEPAST NATUURWETENSCHAPPELIJK ONDERZOEK TNO*;;;;;NL;1,Stieltjesweg 1;DELFT;2628 CK;;;;;;;;;;
37009;JOR3950073;STENO;participant;;ENERGY RESEARCH CENTRE OF THE NETHERLANDS;ECN;;;;NL;Westerduinweg 3;PETTEN;;http://www.ecn.nl;;;;;;;;;
37009;JOR3950073;STENO;coordinator;;UNIVERSITAET STUTTGART;;;;;DE;Pfaffenwaldring 27;STUTTGART;70569;;;;;;;;;;
37009;JOR3950073;STENO;participant;;Aerpac Special Products BV;;;;;NL;96,Bedrijvenpark Twente;Almelo;7602 KD;;;;;;;;;;
37009;JOR3950073;STENO;participant;;Nationaal Lucht- en Ruimtevaart Laboratorium;;;;;NL;31,Voorsterweg;Marknesse;8316 PR;;;;;;;;;;
31021;BRPR950124;ADTURB;participant;999984350;THE CHANCELLOR, MASTERS AND SCHOLARS OF THE UNIVERSITY OF OXFORD;;;;;UK;Parks Road;OXFORD;OX1 3PJ;;;;;;;;;;
31021;BRPR950124;ADTURB;participant;;FIAT AVIO SPA;;;;;IT;Via Nizza 312;TORINO (TURIN);10127;;;;;;;;;;
31021;BRPR950124;ADTURB;coordinator;;Rolls Royce PLC;;;;;UK;Moor Lane;Derby;DE24 8BJ;;;;;;;;;;
31021;BRPR950124;ADTURB;participant;;TURBOMECA SA;TM;;;;FR;Avenue du President Szydlowski;BORDES;;http://www.turbomeca.com;;;;;;;;;
31021;BRPR950124;ADTURB;participant;;SOCIETE D'ETUDE ET DE CONSTRUCTION DE MOTEURS D'AVIATION;;;;;FR;Site de Villaroche, Rond point Rene Ravaud - Reau;MOISSY CRAMAYEL;77550;;;;;;;;;;
31021;BRPR950124;ADTURB;participant;;BMW Rolls-Royce GmbH - Aeroengines;;;;;DE;11,Eschenweg;Dahlewitz;15827;;;;;;;;;;
31021;BRPR950124;ADTURB;participant;;Industria de Turbo Propulsores SA;;;;;ES;300,Parove Tecnologico 300;Zamudio - Vizcaya;48016;;;;;;;;;;
31021;BRPR950124;ADTURB;participant;;GERMAN AEROSPACE CENTRE;;;;;DE;10,Bunsenstrasse 10;GOETTINGEN;37073;;;;;;;;;;
31021;BRPR950124;ADTURB;participant;;UNIVERSITY OF LIMERICK;;;;;IE;Plassey Technological Park;Limerick;61;;;;;;;;;;
31021;BRPR950124;ADTURB;participant;;SWISS FEDERAL INSTITUTE OF TECHNOLOGY LAUSANNE;;;;;CH;Ecublens;LAUSANNE;1015;;;;;;;;;;
31021;BRPR950124;ADTURB;participant;;Kungliga Tekniska Högskolan;;;;;SE;60,Brinellvägen 60;Stockholm;100 44;;;;;;;;;;
31021;BRPR950124;ADTURB;participant;;ABB Kraftwerke Ltd;;;;;CH;;Baden;5401;;;;;;;;;;
31021;BRPR950124;ADTURB;participant;;Office National d'Etudes et de Recherches A?rospatiales;;;;;FR;29 avenue de la Division Leclerc;Châtillon;92322;;;;;;;;;;
38910;JOR3970175;BIMODE;participant;;ATOMINSTITUT OF THE AUSTRIAN UNIVERSITIES;;;;;AT;Stationallee 2;WIEN;1020;;;;;;;;;;
38910;JOR3970175;BIMODE;coordinator;;BP SOLAR LTD;;;;;UK;CHERTSEY ROAD;SUNBURY-ON-THAMES;TW167XA;http://www.bpsolar.com;;;;;;;;;
38910;JOR3970175;BIMODE;participant;;TEULADES I FACANES MULTIFUNCIONALS SA;;;;;ES;S/N,Carrer Gaià, 5 S/N Poligono Industrial Pla d'en;LA VALLENSANA;8110;;;;;;;;;;
38910;JOR3970175;BIMODE;participant;;UNIVERSIDAD POLITECNICA DE MADRID;;;;;ES;Ciudad Universitaria - ETSI Telecomunicacion;MADRID;28040;;;;;;;;;;
38910;JOR3970175;BIMODE;participant;;Bayer AG;;;;;DE;7-9,Rheinuferstrasse 7-9;Krefeld;47812 R82;;;;;;;;;;
38910;JOR3970175;BIMODE;participant;;Kunsthochschule für Medien;;;;;DE;2,Peter Welter Platz 2;Köln;50676;;;;;;;;;;
38910;JOR3970175;BIMODE;participant;;Ove Arup Partnership;;;;;UK;;Newcastle upon Tyne;NE1 2EB Be;;;;;;;;;;
44894;JOR3980249;FEBIOVAL;participant;;CENTRO DE ESTUDOS EM ECONOMIA DA ENERGIA, DOS TRANSPORTES E DO AMBIENTE;;;;;PT;28 1,Rua Gustavo Matos Sequeira 28 1;LISBOA;1200;;;;;;;;;;
44894;JOR3980249;FEBIOVAL;participant;;Empresa Nacional de Electricidad SA;;;;;ES;187,Principe de Vergara;Madrid;28002;;;;;;;;;;
44894;JOR3980249;FEBIOVAL;participant;;Universidad Politécnica de Madrid;;;;;ES;Ciudad Universitaria;Madrid;28040;;;;;;;;;;
44894;JOR3980249;FEBIOVAL;participant;;KING'S COLLEGE LONDON;;;;;UK;Stamford Street 150;LONDON;SE1 9NN;;;;;;;;;;
