projectRcn;projectID;projectAcronym;role;id;name;shortName;activityType;endOfParticipation;ecContribution;country;street;city;postCode;organizationUrl;vatNumber;contactForm;contactType;contactTitle;contactFirstNames;contactLastNames;contactFunction;contactTelephoneNumber;contactFaxNumber
11694;FI1W0245;COMPAS;coordinator;;EMPRESA NACIONAL DE RESIDUOS RADIOACTIVOS S.A.;;;;;ES;7,Emilio Vargas 7;MADRID;28043;;;;;;;;;;
12028;EV4C0080;HAPEX;participant;;INST DE MECANIQUE DE GRENOBLE;;;;;;;;;;;;;;;;;;
12028;EV4C0080;HAPEX;participant;;METEOROLOGICAL OFFICE;;;;;;;;;;;;;;;;;;
12028;EV4C0080;HAPEX;participant;;UNIVERSITY OF BOLOGNA;;;;;;;;;;;;;;;;;;
12028;EV4C0080;HAPEX;participant;;DEPT OF CIVIL ENGINEERING;;;;;;;;;;;;;;;;;;
12028;EV4C0080;HAPEX;participant;;AGRICULTURAL UNIV WAGENINGEN;;;;;;;;;;;;;;;;;;
12028;EV4C0080;HAPEX;participant;;LMD DU CNRS;;;;;;;;;;;;;;;;;;
12028;EV4C0080;HAPEX;coordinator;999997930;CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE (CNRS);;;;;FR;16 avenue Édouard-Belin;Toulouse;31054;;;;;;;;;;
14019;FI1W0047;PACOMA;coordinator;;Electrowatt Engineering Services Ltd;;;;;UK;;Bradford;BD;;;;;;;;;;
13697;BAP*0193;MINE;coordinator;;INSTITUTO GULBENKIAN DE CIENCIA;;;;;PT;APARTADO 14;OEIRAS;2781;;;;;;;;;;
13697;BAP*0193;MINE;participant;;CBS;;;;;NL;;BAARN;;;;;;;;;;;
13697;BAP*0193;MINE;participant;;Commonwealth Agricultural Bureaux (CAB);;;;;UK;Kew;Richmond;;;;;;;;;;;
13697;BAP*0193;MINE;participant;;SPPS;;;;;BE;;BRUXELLES;;;;;;;;;;;
13697;BAP*0193;MINE;participant;;Deutsche Sammlung von Mikroorganismen und Zellkulturen GmbH;;;;;DE;;Göttingen;37001;;;;;;;;;;
13661;BAP*0235;TGEV;participant;;UNIVERSIDAD DE OVIEDO;;;;;ES;;OVIEDO;33006;http://ischuller.ucsd.edu/;;;;;;;;;
13661;BAP*0235;TGEV;coordinator;;INSTITUTE FOR ANIMAL HEALTH;;;;;UK;High street,Compton;NEWBURY;RG20 7NN;;;;;;;;;;
13990;FI1W0111;COMPAS;participant;;STEAG KERNENERGIE;;;;;BE;;MOL;;;;;;;;;;;
13990;FI1W0111;COMPAS;coordinator;;OVE ARUP PARTNERSHIP LTD;;;;;UK;Fitzroy Street 13;LONDON;W1P 6BQ;;;;;;;;;;
14134;BI6*0298;THOROTRAST;coordinator;;Deutsches Krebsforschungszentrum;;;;;DE;Im Neuenheimer Feld 280;Heidelberg;69120;;;;;;;;;;
8666;1541;MULTILINGUAL;participant;18176;CNET France Telecom;;;;;FR;2 route de Tregastel;Lannion;22300;;;;;;;;;;
8666;1541;MULTILINGUAL;participant;999985708;UNIVERSITEIT VAN AMSTERDAM;;HES;;;NL;ROETERSSTRAAT;AMSTERDAM;1018;;;;;;;;;;
8666;1541;MULTILINGUAL;participant;;JYDSK TELEFON (JTAS);;;;;DK;SLETVEJ;ARHUS;8310;;;;;;;;;;
8666;1541;MULTILINGUAL;participant;48919;Centro Studi e Laboratori Telecomunicazioni SpA;;;;;IT;Via G. Reiss Romoli, 274;TORINO;10148;http://www.cselt.stet.it/Cselt/index_text.htm;;;;;;;;;
8666;1541;MULTILINGUAL;coordinator;999900639;University of London;;HES;;;UK;Malet Street, Bloomsbury;London;WC1E 7HX;;;;;;;;;;
8412;866;COUSTO;participant;28760;GEC Marconi Research Centre;;;;;UK;"West Hanningfield Road
Great Baddow";Chelmsford;CM2 8HN;;;;;;;;;;
8412;866;COUSTO;coordinator;;Selenia SpA - Industrie Electroniche Associate;;;;;IT;Via Tiburtina Km 12.400;Roma;13;;;;;;;;;;
8412;866;COUSTO;participant;999900639;University of London;;HES;;;UK;Malet Street, Bloomsbury;London;WC1E 7HX;;;;;;;;;;
8665;1633;PODA;participant;;SERVICE D'ETUDES COMMUNES DE LA POSTE ET DE FRANCE TELECOM;;;;;FR;53 AVENUE DE LA COTE DE NACRE;CAEN;14040;;;;;;;;;;
8665;1633;PODA;participant;38437;Alcatel TITN;;;;;FR;Rue Galvani;Massy;91301;;;;;;;;;;
8665;1633;PODA;participant;996058081;BULL SA;;;;;FR;7 rue Ampère;Massy;91343;;;;;;;;;;
8665;1633;PODA;participant;43446;Ingegneria C. Olivetti and C. SpA;;;;;IT;Via Campi Flegrei 34;Pozzuoli Napoli;80078;;;;;;;;;;
8665;1633;PODA;participant;;Syntax Sistemi Software SpA;;;;;IT;Via Fanelli 206/16;Bari;70125;;;;;;;;;;
8665;1633;PODA;participant;917;OCE-NEDERLAND BV;;;;;NL;ST. URBANUSSTRAAT Postbus 101;VENLO;5900 MA;;;;;;;;;;
8665;1633;PODA;participant;29194;SIEMENS-NIXDORF INFORMATIONSSYSTEME AG;;;;;DE;BERLINER STRAßE;BERLIN;1000;;;;;;;;;;
8665;1633;PODA;coordinator;75902;Siemens Nixdorf Informationssysteme AG;;;;;DE;Otto-Hahn-Ring 6;München;81739;;;;;;;;;;
8665;1633;PODA;participant;42343;International Computers Ltd (ICL);;;;;UK;Lovelace Road;Bracknell;RG12 4SN;;;;;;;;;;
8665;1633;PODA;participant;999900639;University of London;;HES;;;UK;Malet Street, Bloomsbury;London;WC1E 7HX;;;;;;;;;;
8484;1558;EQUUS;coordinator;;Citymax Ltd;;;;;UK;6 Laurence Pountney Hill;London;EC4R 0BL;;;;;;;;;;
8484;1558;EQUUS;participant;;DATAID;;;;;FR;;;;;;;;;;;;;
8484;1558;EQUUS;participant;;RIADA & CO;;;;;IE;GRAFTON STREET 28/29;DUBLIN 2;;;;;;;;;;;
