projectRcn;projectID;projectAcronym;role;id;name;shortName;activityType;endOfParticipation;ecContribution;country;street;city;postCode;organizationUrl;vatNumber;contactForm;contactType;contactTitle;contactFirstNames;contactLastNames;contactFunction;contactTelephoneNumber;contactFaxNumber
14336;FI2T0010;RATOCA;participant;;Centro de Investigaciones Energéticas, Medioambientales y Tecnológicas;;;;;ES;22,Avenida Complutense;Madrid;28040;;;;;;;;;;
14336;FI2T0010;RATOCA;coordinator;;Sopelem Sofretec SA;;;;;FR;53 rue Casimir Périer;Bezons;95870;;;;;;;;;;
14336;FI2T0010;RATOCA;participant;;Thomson Composants Militaires et Spatiaux;;;;;FR;50 rue Jean-Pierre Timbaud;Courbevoie;92402;;;;;;;;;;
14336;FI2T0010;RATOCA;participant;;United Kingdom Atomic Energy Authority;;;;;UK;353,Harwell;Didcot - Oxfordshire;OX11 0RA;;;;;;;;;;
18058;STEP0072;ISORAC;participant;;NATIONAL RESEARCH COUNCIL OF ITALY;;;;;IT;Via Panciatichi 64;FIRENZE;50127;;;;;;;;;;
18058;STEP0072;ISORAC;participant;999997930;Centre National de la Recherche Scientifique (CNRS);;;;;FR;Université de Paris XI (Université Paris-Sud);Orsay;91405;;;;;;;;;;
18058;STEP0072;ISORAC;participant;999997930;CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE;;;;;FR;Université de Paris-Sud 11 350 Tour 13 Case 76;PARIS;75252;;;;;;;;;;
18058;STEP0072;ISORAC;coordinator;;Deutsches Zentrum für Luft- und Raumfahrt e.V.;;;;;DE;;Weßling;82234;;;;;;;;;;
18058;STEP0072;ISORAC;participant;;Università degli Studi di Firenze;;;;;IT;Largo Enrico Fermi 2;Firenze;50125;;;;;;;;;;
18058;STEP0072;ISORAC;participant;;Justus-Liebig-Universität Giessen;;;;;DE;Heinrich-Buff-Ring 58;Giessen;35392;;;;;;;;;;
18058;STEP0072;ISORAC;participant;;Université Libre de Bruxelles;;;;;BE;50,Avenue Franklin Roosevelt;Bruxelles;1050;;;;;;;;;;
18058;STEP0072;ISORAC;participant;166558;UNIVERSITA DEGLI STUDI DI PISA;;HES;;;IT;Piazza Torricelli 2;Pisa;56100;;;;;;;;;;
18058;STEP0072;ISORAC;participant;;Engineering and Physical Sciences Research Council (EPSRC);;;;;UK;"Polaris House
North Star Avenue";Swindon;SN2 1ET;;;;;;;;;;
18058;STEP0072;ISORAC;participant;;University of Strathclyde;;;;;UK;"John Anderson Building
107 Rottenrow";Glasgow;G4 0NG;;;;;;;;;;
18058;STEP0072;ISORAC;participant;;UNIVERSITY OF BOLOGNA;;;;;IT;Viale Risorgimento 4;BOLOGNA;40136;;;;;;;;;;
2782;BIOT0184;CARBBANK;coordinator;;CARLSBERG LABORATORY;;;;;DK;10,Gamle Carlsberg Vej 10;VALBY;2500;;;;;;;;;;
2782;BIOT0184;CARBBANK;participant;;UTRECHT UNIVERSITY;;;;;NL;8,Padualaan 8;UTRECHT;3584 CH;;;;;;;;;;
2782;BIOT0184;CARBBANK;participant;;UNIVERSITY OF HAMBURG;;;;;DE;Martin-Luther-King-Platz 6;HAMBURG;20146;;;;;;;;;;
4742;SC1*0791;DENIS;participant;999979500;Consiglio Nazionale delle Ricerche (CNR);;;;;IT;Via Enrico Fermi 23;Frascati Roma;44;;;;;;;;;;
4742;SC1*0791;DENIS;participant;999997930;CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE;;;;;FR;Boulevard Arago 98 bis;PARIS;75014;;;;;;;;;;
4742;SC1*0791;DENIS;coordinator;999997930;Centre National de la Recherche Scientifique (CNRS);;;;;FR;61 avenue de l'Observatoire;Paris;75014;;;;;;;;;;
4742;SC1*0791;DENIS;participant;;INSTITUTO DE ASTROFÍSICA DE CANARIAS;;;;;ES;Via Lactea, s/n;LA LAGUNA;38205;;;;;;;;;;
4742;SC1*0791;DENIS;participant;;Landessternwarte Heidelberg Königstuhl;;;;;DE;;Heidelberg;6900;;;;;;;;;;
4742;SC1*0791;DENIS;participant;;Rijksuniversiteit Leiden;;;;;NL;2,Niels Bohrweg 2;Leiden;2300 RA;;;;;;;;;;
4742;SC1*0791;DENIS;participant;;Universität Wien;;;;;AT;17,Türkenschanzstrasse;Wien;1180;;;;;;;;;;
17178;AERO0019;FANSTIC I;participant;;SMITHS AEROSPACE LTD.;;;;;UK;Bishops Cleeve;Cheltenham;GL52 4SF;;;;;;;;;;
17178;AERO0019;FANSTIC I;coordinator;;Aérospatiale Société Nationale Industrielle SA;;;;;FR;37 boulevard de Montmorency;Paris;75781;;;;;;;;;;
17178;AERO0019;FANSTIC I;participant;;NATIONAL TECHNICAL UNIVERSITY OF ATHENS;;;;;EL;Iroon Polytechnioy 5;ATHENS;15780;;;;;;;;;;
17178;AERO0019;FANSTIC I;participant;;Alenia Aerospazio - Un'Azienda Finmeccanica SpA;;;;;IT;Viale dell'Aeronautica;Pomigliano d'Arco - Napoli;80038;;;;;;;;;;
17178;AERO0019;FANSTIC I;participant;;Fokker Aircraft BV;;;;;NL;15,Hoogoorddreef;Amsterdam;1100 AE;;;;;;;;;;
17178;AERO0019;FANSTIC I;participant;;British Aerospace Plc;;;;;UK;Warwick House;Farnborough;GU14 6YU;;;;;;;;;;
17178;AERO0019;FANSTIC I;participant;;Computer Applied Techniques Ltd.;;;;;IE;3,Saint James' Terrace;Dublin;26;;;;;;;;;;
17178;AERO0019;FANSTIC I;participant;;Centre d'Études de la Navigation Aérienne (CENA);;;;;FR;7 avenue Édouard-Belin;Toulouse;31055;;;;;;;;;;
17178;AERO0019;FANSTIC I;participant;;Messerschmitt-Bölkow-Blohm GmbH (MBB);;;;;DE;Haidgraben;München;81611;;;;;;;;;;
17178;AERO0019;FANSTIC I;participant;;SPACE APPLICATIONS SERVICES SA/NV;;;;;BE;325,Leuvensesteenweg 325;SINT STEVENS WOLUWE;1932;;;;;;;;;;
17178;AERO0019;FANSTIC I;participant;;Sextant Avionique SA;;;;;FR;5-7 rue Jeanne Braconnier;Meudon-la-Forêt;92366;;;;;;;;;;
17178;AERO0019;FANSTIC I;participant;;Stichting Nationaal Lucht- en Ruimtevaart Laboratorium;;;;;NL;;Emmeloord;8300 AD;;;;;;;;;;
17178;AERO0019;FANSTIC I;participant;;UNIVERSITY OF KASSEL;;;;;DE;Moenchebergstrasse 19;KASSEL;34109;;;;;;;;;;
17178;AERO0019;FANSTIC I;participant;;VDO Luftfahrtgeräte Werk Adolf Schindling GmbH;;;;;DE;An der Sandelmühle 13;Frankfurt am Main;60439;;;;;;;;;;
224;AGRE0021;OPLIGE;participant;;IMPERIAL CHEMICAL INDUSTRIES PLC;;;;;UK;Millbank Imperial Chemical House;LONDON;SW1P 3JF;;;;;;;;;;
224;AGRE0021;OPLIGE;participant;;Plant Genetics Systems NV;;;;;BE;22,Jozef Plateaustraat;Gent;9000;;;;;;;;;;
224;AGRE0021;OPLIGE;participant;;Institut National de la Recherche Agronomique (INRA);;;;;FR;147 rue de l'Université;Paris;75341;;;;;;;;;;
224;AGRE0021;OPLIGE;participant;;GENT UNIVERSITY;;;;;BE;Sint Pietersnieuwstraat 25;GENT;9000;;;;;;;;;;
224;AGRE0021;OPLIGE;coordinator;999997930;Centre National de la Recherche Scientifique (CNRS);;;;;FR;118 route de Narbonne;Toulouse;31062;;;;;;;;;;
224;AGRE0021;OPLIGE;participant;999997930;CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE;;;;;FR;Rue de Général Zimmer 12;STRASBOURG;67084;;;;;;;;;;
224;AGRE0021;OPLIGE;participant;;CENTRE TECHNIQUE DE L'INDUSTRIE DES PAPIERS, CARTONS ET CELLULOSES;CENTRE TECHNIQUE DE;;;;FR;Domaine Universitaire;GRENOBLE;CS90251;http://www.webctp.com;;;;;;;;;
224;AGRE0021;OPLIGE;participant;;Empresa Nacional de Celulosas SA;;;;;ES;8,Avenida de Burgos;Madrid;28036;;;;;;;;;;
224;AGRE0021;OPLIGE;participant;;Société de Production et d'Approvisionnement du Plateau Central 'Rouergue, Auvergne,Gevaudan,Tarnais';;;;;FR;"18 rue de Seguret
Saincric";Rodez;12003;;;;;;;;;;
224;AGRE0021;OPLIGE;participant;;UNIVERSITAET STUTTGART;;;;;DE;Keplerstrasse 7;STUTTGART;70174;;;;;;;;;;
17180;AERO0015;IMAGES;coordinator;;Aérospatiale Société Nationale Industrielle SA;;;;;FR;37 boulevard de Montmorency;Paris;75781;;;;;;;;;;
17180;AERO0015;IMAGES;participant;998133590;INESC-INSTITUTO DE ENGENHARIA DE SISTEMAS E COMPUTADORES;;REC;;;PT;Rua Alves Redol 9;LISBOA;1000;;;;;;;;;;
17180;AERO0015;IMAGES;participant;;NATIONAL TECHNICAL UNIVERSITY OF ATHENS;;;;;EL;Iroon Polytechnioy 5;ATHENS;15780;;;;;;;;;;
17180;AERO0015;IMAGES;participant;;Alenia Aerospazio - Un'Azienda Finmeccanica SpA;;;;;IT;Viale dell'Aeronautica;Pomigliano d'Arco - Napoli;80038;;;;;;;;;;
17180;AERO0015;IMAGES;participant;;Fokker Aircraft BV;;;;;NL;15,Hoogoorddreef;Amsterdam;1100 AE;;;;;;;;;;
17180;AERO0015;IMAGES;participant;;Alsys Consultant;;;;;FR;29 avenue Lucien René Duchesne;La-Celle-Saint-Cloud;78170;;;;;;;;;;
17180;AERO0015;IMAGES;participant;;British Aerospace Plc;;;;;UK;Warwick House;Farnborough;GU14 6YU;;;;;;;;;;
17180;AERO0015;IMAGES;participant;;Computer Applied Techniques Ltd.;;;;;IE;3,Saint James' Terrace;Dublin;26;;;;;;;;;;
17180;AERO0015;IMAGES;participant;;Computer Resources International A/S;;;;;DK;;København V;1620;;;;;;;;;;
17180;AERO0015;IMAGES;participant;;Institut National des Sciences Appliquées de Toulouse (INSA);;;;;FR;Complexe Scientifique de Rangueil;Toulouse;31077;;;;;;;;;;
17180;AERO0015;IMAGES;participant;;Messerschmitt-Bölkow-Blohm GmbH (MBB);;;;;DE;Haidgraben;München;81611;;;;;;;;;;
17180;AERO0015;IMAGES;participant;;SPACE APPLICATIONS SERVICES SA/NV;;;;;BE;325,Leuvensesteenweg 325;SINT STEVENS WOLUWE;1932;;;;;;;;;;
17180;AERO0015;IMAGES;participant;;Software Científico y Técnico;;;;;ES;;Madrid;28001;;;;;;;;;;
17180;AERO0015;IMAGES;participant;;Sextant Avionique SA;;;;;FR;5-7 rue Jeanne Braconnier;Meudon-la-Forêt;92366;;;;;;;;;;
17180;AERO0015;IMAGES;participant;;Stichting Nationaal Lucht- en Ruimtevaart Laboratorium;;;;;NL;;Emmeloord;8300 AD;;;;;;;;;;
14457;R1088;TUDOR;participant;;University of Manchester;;;;;UK;Oxford Road;Manchester;M13 9PL;;;;;;;;;;
14457;R1088;TUDOR;participant;;Swedish Telecom & Swedish Handicap Institute;;;;;SE;;;;;;;;;;;;;
14457;R1088;TUDOR;participant;;FMH - Universidade Tecnica de Lisboa;;;;;PT;;;;;;;;;;;;;
14457;R1088;TUDOR;participant;;PTT Netherlands  Research;;;;;NL;;;;;;;;;;;;;
14457;R1088;TUDOR;participant;;University of Northumbria at Newcastle;;;;;UK;Coach Lane Campus;Newcastle upon Tyne;NE7 7TW;;;;;;;;;;
14457;R1088;TUDOR;coordinator;166376;ALCATEL SEL AG;;;;;DE;LORENZSTRASSE 10;STUTTGART;70435;;;;;;;;;;
