projectRcn;projectID;projectAcronym;role;id;name;shortName;activityType;endOfParticipation;ecContribution;country;street;city;postCode;organizationUrl;vatNumber;contactForm;contactType;contactTitle;contactFirstNames;contactLastNames;contactFunction;contactTelephoneNumber;contactFaxNumber
18045;JOU20418;EUCLIDES;coordinator;;BP SOLAR LTD;;;;;UK;CHERTSEY ROAD;SUNBURY-ON-THAMES;TW167XA;http://www.bpsolar.com;;;;;;;;;
18045;JOU20418;EUCLIDES;participant;;UNIVERSIDAD POLITECNICA DE MADRID;;;;;ES;Ciudad Universitaria - ETSI Telecomunicacion;MADRID;28040;;;;;;;;;;
18045;JOU20418;EUCLIDES;participant;;UNIVERSITY OF READING;;;;;UK;Whiteknights;Reading;RG6 6AY;;;;;;;;;;
18045;JOU20418;EUCLIDES;participant;;CENTER FOR SOLAR ENERGY AND HYDROGEN RESEARCH BADEN-WÜRTEMBERG;;;;;DE;Hessbruehlstrasse 21c;STUTTGART;70565;;;;;;;;;;
8957;6549;MOSAIC;participant;;EIDGENOESSISCHE TECHNISCHE HOCHSCHULE;;;;;CH;ETH-ZENTRUM;ZURICH;8092;;;;;;;;;;
8957;6549;MOSAIC;participant;;Commissariat à l'Energie Atomique (CEA);;;;;FR;"Centre d'Études de Grenoble
17 avenue des Martyrs";Grenoble;38041;;;;;;;;;;
8957;6549;MOSAIC;participant;923937611;Siemens AG;;;;;DE;Otto-Hahn-Ring 6;München;81739;;;;;;;;;;
8957;6549;MOSAIC;participant;;INTERUNIVERSITAIR MIKROELEKTRONICA CENTRUM;;;;;BE;KAPELDREEF, 75;HEVERLEE;3030;;;;;;;;;;
8957;6549;MOSAIC;participant;;Centre National d'Études des Télécommunications (CNET);;;;;FR;38-40 rue du Général Leclerc;Issy-les-Moulineaux;92131;;;;;;;;;;
8957;6549;MOSAIC;participant;;DANMARKS TEKNISKE HOJSKOLE;;;;;DK;LUNDTOFTEVEJ, 100;LYNGBY;2800;;;;;;;;;;
8957;6549;MOSAIC;coordinator;;Alcatel Alsthom Recherche;;;;;FR;Route de Nozay;Marcoussis;91460;;;;;;;;;;
8957;6549;MOSAIC;participant;63979;British Telecom plc (BT);;;;;UK;"British Telecom Centre
81 Newgate Street";London;EC1A 7AJ;http://www.euro6ix.org;;;;;;;;;
8957;6549;MOSAIC;participant;;Epitaxial Products International Ltd;;;;;UK;"Cypress Drive
St Mellons";Cardiff;CF3 0EG;;;;;;;;;;
6120;BIO2930001;CARBBANK;participant;;UTRECHT UNIVERSITY;;;;;NL;8,Padualaan 8;UTRECHT;3584 CH;;;;;;;;;;
6120;BIO2930001;CARBBANK;coordinator;;CARLSBERG LABORATORY;;;;;DK;10,Gamle Carlsberg Vej 10;VALBY;2500;;;;;;;;;;
6120;BIO2930001;CARBBANK;participant;;UNIVERSITY OF HAMBURG;;;;;DE;Martin-Luther-King-Platz 6;HAMBURG;20146;;;;;;;;;;
5879;BIO2930075;ESSA;participant;;THE PROVOST, FELLOWS AND SCHOLARS OF THE COLLEGE OF THE HOLY AND UNDIVIDED TRINITY OF QUEEN ELIZABETH NEAR DUBLIN HEREINAFTER TRINITY COLLEGE DUBLIN;;;;;IE;Smurfit Institute,Trinity College;DUBLIN;2;;;;;;;;;;
5879;BIO2930075;ESSA;participant;;INSTITUT NATIONAL DE LA RECHERCHE AGRONOMIQUE;;;;;FR;Route de Saint-Cyr RD10;VERSAILLES;78026;;;;;;;;;;
